"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","correct_response","button_pressed","0","1","2","3","4","5","6"
"416.7349999770522","<p style=""color:white;"">Welcome to the experiment! Press any key to begin.</p>","32","html-keyboard-response","0","432","0.0-0.0","","","","","","","","","",""
"265.8449999289587","<p style=""color:white;"">Get your hands in position and press the space bar to start. </p>","32","html-keyboard-response","1","699","0.0-1.0","","","","","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","2","1702","0.0-2.0-0.0","","","","","","","","","",""
"2042.5850000465289","<p style=""color:white;"">Press the <u><strong>L</strong></u> key. </p> <p style=""color:white;"">Easy is worth:    </p> <p style=""color:white;"">$1   </p> <p style=""color:white;"">Press the <u><strong>S</strong></u> key. </p> <p style=""color:white;"">Hard is worth:    </p> <p style=""color:white;"">$1.78    </p> <p style=""color:white;""> The probability of winning is 50%.   </p> ","76","html-keyboard-response","3","3751","0.0-2.0-1.0","practice",",","","","","","","","",""
"null","<p style=""color:white;"">Ready?</p>","null","html-keyboard-response","4","4754","0.0-2.0-2.0","","","","","","","","","",""
"2.0800000056624413","<p style=""color:white;"">Ready?</p>","","html-button-response","5","4757","0.0-2.0-3.0","","","0","","","","","","",""
"","","","html-keyboard-response","6","10770","0.0-2.0-4.0","practice",",","","f","a","i","l","u","r","e"
"null","<p id=""feedbackGenerator"" style=""color:white;""></p>","null","html-keyboard-response","7","12773","0.0-2.0-5.0","practice",",","","","","","","","",""
"null","<p id=""outcomeGenerator"" style=""color:white;""></p>","null","html-keyboard-response","8","14776","0.0-2.0-6.0","practice",",","","","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","9","15780","0.0-2.0-0.1","","","","","","","","","",""
"16089.68500001356","<p style=""color:white;"">Press the <u><strong>L</strong></u> key. </p> <p style=""color:white;"">Easy is worth:    </p> <p style=""color:white;"">$1   </p> <p style=""color:white;"">Press the <u><strong>S</strong></u> key. </p> <p style=""color:white;"">Hard is worth:    </p> <p style=""color:white;"">$2.68    </p> <p style=""color:white;""> The probability of winning is 12%.   </p> ","76","html-keyboard-response","10","31871","0.0-2.0-1.1","practice",",","","","","","","","",""
"null","<p style=""color:white;"">Ready?</p>","null","html-keyboard-response","11","32876","0.0-2.0-2.1","","","","","","","","","",""
"0.7250000489875674","<p style=""color:white;"">Ready?</p>","","html-button-response","12","32877","0.0-2.0-3.1","","","0","","","","","","",""
"","","","html-keyboard-response","13","38885","0.0-2.0-4.1","practice",",","","f","a","i","l","u","r","e"
"null","<p id=""feedbackGenerator"" style=""color:white;""></p>","null","html-keyboard-response","14","40890","0.0-2.0-5.1","practice",",","","","","","","","",""
"null","<p id=""outcomeGenerator"" style=""color:white;"">No money this round</p>","null","html-keyboard-response","15","42893","0.0-2.0-6.1","practice",",","","","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","16","43898","0.0-2.0-0.2","","","","","","","","","",""
"6067.82499991823","<p style=""color:white;"">Press the <u><strong>L</strong></u> key. </p> <p style=""color:white;"">Easy is worth:    </p> <p style=""color:white;"">$1   </p> <p style=""color:white;"">Press the <u><strong>S</strong></u> key. </p> <p style=""color:white;"">Hard is worth:    </p> <p style=""color:white;"">$3.58    </p> <p style=""color:white;""> The probability of winning is 50%.   </p> ","76","html-keyboard-response","17","49966","0.0-2.0-1.2","practice",".","","","","","","","",""
"null","<p style=""color:white;"">Ready?</p>","null","html-keyboard-response","18","50968","0.0-2.0-2.2","","","","","","","","","",""
"1.1399999493733048","<p style=""color:white;"">Ready?</p>","","html-button-response","19","50970","0.0-2.0-3.2","","","0","","","","","","",""
"","","","html-keyboard-response","20","56981","0.0-2.0-4.2","practice",".","","f","a","i","l","u","r","e"
"null","<p id=""feedbackGenerator"" style=""color:white;""></p>","null","html-keyboard-response","21","58988","0.0-2.0-5.2","practice",".","","","","","","","",""
"null","<p id=""outcomeGenerator"" style=""color:white;"">No money this round</p>","null","html-keyboard-response","22","60991","0.0-2.0-6.2","practice",".","","","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","23","61996","0.0-2.0-0.3","","","","","","","","","",""
"34081.525000045076","<p style=""color:white;"">Press the <u><strong>L</strong></u> key. </p> <p style=""color:white;"">Easy is worth:    </p> <p style=""color:white;"">$1   </p> <p style=""color:white;"">Press the <u><strong>S</strong></u> key. </p> <p style=""color:white;"">Hard is worth:    </p> <p style=""color:white;"">$4.12    </p> <p style=""color:white;""> The probability of winning is 88%.   </p> ","83","html-keyboard-response","24","96079","0.0-2.0-1.3","practice",".","","","","","","","",""
"null","<p style=""color:white;"">Ready?</p>","null","html-keyboard-response","25","97083","0.0-2.0-2.3","","","","","","","","","",""
"1.025000005029142","<p style=""color:white;"">Ready?</p>","","html-button-response","26","97084","0.0-2.0-3.3","","","0","","","","","","",""
"","","","html-keyboard-response","27","108673","0.0-2.0-4.3","practice",".","","s","u","c","c","e","s","s"
"null","<p id=""feedbackGenerator"" style=""color:white;""></p>","null","html-keyboard-response","28","110675","0.0-2.0-5.3","practice",".","","","","","","","",""
"null","<p id=""outcomeGenerator"" style=""color:white;""></p>","null","html-keyboard-response","29","112680","0.0-2.0-6.3","practice",".","","","","","","","",""
"19974.050000077114","<p style=""color:white;"">That was the practice. The experiment starts now!</p> <p style=""color:white;"">Get your hands in position and press the space bar to start. </p>","","html-button-response","30","132656","0.0-3.0","","","0","","","","","","",""
"null","<p style=""color:white;"">You have now completed the task! Saving data...PLEASE DO NOT CLOSE THIS BROWSER until you complete the second part.</p> <p style=""color:white;"">BEFORE THE LINK DISAPPEARS please move on to the second part of the task at this link to obtain your completion code:</p> <a href=https://survey.az1.qualtrics.com/SE/?SID=SV_9uARDX1aXEXq1pP&Q_JFE=0&workerId= target=""_blank"">https://survey.az1.qualtrics.com/SE/?SID=SV_9uARDX1aXEXq1pP&Q_JFE=0&workerId=</a>","null","html-keyboard-response","31","173231","0.0-4.0","","","","","","","","","",""
