"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","correct_response","button_pressed","0","1","2","3","4","5","6"
"544","<p style=""color:white;"">Welcome to the experiment! Press any key to begin.</p>","32","html-keyboard-response","0","554","0.0-0.0","","","","","","","","","",""
"913","<p style=""color:white;"">Get your hands in position and press the space bar to start. </p>","32","html-keyboard-response","1","1468","0.0-1.0","","","","","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","2","2470","0.0-2.0-0.0","","","","","","","","","",""
"571","<p style=""color:white;"">Press the <u><strong>L</strong></u> key. </p> <p style=""color:white;"">Easy is worth:    </p> <p style=""color:white;"">$1   </p> <p style=""color:white;"">Press the <u><strong>S</strong></u> key. </p> <p style=""color:white;"">Hard is worth:    </p> <p style=""color:white;"">$1.78    </p> <p style=""color:white;""> The probability of winning is 50%.   </p> ","76","html-keyboard-response","3","3043","0.0-2.0-1.0","practice",",","","","","","","","",""
"null","<p style=""color:white;"">Ready?</p>","null","html-keyboard-response","4","4046","0.0-2.0-2.0","","","","","","","","","",""
"3","<p style=""color:white;"">Ready?</p>","","html-button-response","5","4050","0.0-2.0-3.0","","","0","","","","","","",""
"","","","html-keyboard-response","6","8966","0.0-2.0-4.0","practice",",","","d","a","t","a","","",""
"null","<p id=""feedbackGenerator"" style=""color:white;""></p>","null","html-keyboard-response","7","10971","0.0-2.0-5.0","practice",",","","","","","","","",""
"null","<p id=""outcomeGenerator"" style=""color:white;""></p>","null","html-keyboard-response","8","12977","0.0-2.0-6.0","practice",",","","","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","9","13982","0.0-2.0-0.1","","","","","","","","","",""
"1343","<p style=""color:white;"">Press the <u><strong>L</strong></u> key. </p> <p style=""color:white;"">Easy is worth:    </p> <p style=""color:white;"">$1   </p> <p style=""color:white;"">Press the <u><strong>S</strong></u> key. </p> <p style=""color:white;"">Hard is worth:    </p> <p style=""color:white;"">$2.68    </p> <p style=""color:white;""> The probability of winning is 12%.   </p> ","76","html-keyboard-response","10","15325","0.0-2.0-1.1","practice",",","","","","","","","",""
"null","<p style=""color:white;"">Ready?</p>","null","html-keyboard-response","11","16330","0.0-2.0-2.1","","","","","","","","","",""
"1","<p style=""color:white;"">Ready?</p>","","html-button-response","12","16331","0.0-2.0-3.1","","","0","","","","","","",""
"","","","html-keyboard-response","13","22347","0.0-2.0-4.1","practice",",","","f","a","i","l","u","r","e"
"null","<p id=""feedbackGenerator"" style=""color:white;""></p>","null","html-keyboard-response","14","24352","0.0-2.0-5.1","practice",",","","","","","","","",""
"null","<p id=""outcomeGenerator"" style=""color:white;"">No money this round</p>","null","html-keyboard-response","15","26355","0.0-2.0-6.1","practice",",","","","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","16","27359","0.0-2.0-0.2","","","","","","","","","",""
"287","<p style=""color:white;"">Press the <u><strong>L</strong></u> key. </p> <p style=""color:white;"">Easy is worth:    </p> <p style=""color:white;"">$1   </p> <p style=""color:white;"">Press the <u><strong>S</strong></u> key. </p> <p style=""color:white;"">Hard is worth:    </p> <p style=""color:white;"">$3.58    </p> <p style=""color:white;""> The probability of winning is 50%.   </p> ","76","html-keyboard-response","17","27647","0.0-2.0-1.2","practice",".","","","","","","","",""
"null","<p style=""color:white;"">Ready?</p>","null","html-keyboard-response","18","28648","0.0-2.0-2.2","","","","","","","","","",""
"1","<p style=""color:white;"">Ready?</p>","","html-button-response","19","28649","0.0-2.0-3.2","","","0","","","","","","",""
"","","","html-keyboard-response","20","34659","0.0-2.0-4.2","practice",".","","f","a","i","l","u","r","e"
"null","<p id=""feedbackGenerator"" style=""color:white;""></p>","null","html-keyboard-response","21","36662","0.0-2.0-5.2","practice",".","","","","","","","",""
"null","<p id=""outcomeGenerator"" style=""color:white;"">No money this round</p>","null","html-keyboard-response","22","38662","0.0-2.0-6.2","practice",".","","","","","","","",""
"null","<div style=""color:white; font-size:60px;"">+</div>","null","html-keyboard-response","23","39663","0.0-2.0-0.3","","","","","","","","","",""
"7533","<p style=""color:white;"">Press the <u><strong>L</strong></u> key. </p> <p style=""color:white;"">Easy is worth:    </p> <p style=""color:white;"">$1   </p> <p style=""color:white;"">Press the <u><strong>S</strong></u> key. </p> <p style=""color:white;"">Hard is worth:    </p> <p style=""color:white;"">$4.12    </p> <p style=""color:white;""> The probability of winning is 88%.   </p> ","83","html-keyboard-response","24","47197","0.0-2.0-1.3","practice",".","","","","","","","",""
"null","<p style=""color:white;"">Ready?</p>","null","html-keyboard-response","25","48199","0.0-2.0-2.3","","","","","","","","","",""
"2","<p style=""color:white;"">Ready?</p>","","html-button-response","26","48200","0.0-2.0-3.3","","","0","","","","","","",""
"","","","html-keyboard-response","27","68224","0.0-2.0-4.3","practice",".","","f","a","i","l","u","r","e"
"null","<p id=""feedbackGenerator"" style=""color:white;""></p>","null","html-keyboard-response","28","70229","0.0-2.0-5.3","practice",".","","","","","","","",""
"null","<p id=""outcomeGenerator"" style=""color:white;""></p>","null","html-keyboard-response","29","72232","0.0-2.0-6.3","practice",".","","","","","","","",""
"3111","<p style=""color:white;"">That was the practice. The experiment starts now!</p> <p style=""color:white;"">Get your hands in position and press the space bar to start. </p>","","html-button-response","30","75344","0.0-3.0","","","0","","","","","","",""
"null","<p style=""color:white;"">You have now completed the task! Saving data...PLEASE DO NOT CLOSE THIS BROWSER until you complete the second part.</p> <p style=""color:white;"">BEFORE THE LINK DISAPPEARS please move on to the second part of the task at this link to obtain your completion code:</p> <a href=https://survey.az1.qualtrics.com/SE/?SID=SV_9uARDX1aXEXq1pP&Q_JFE=0&workerId= target=""_blank"">https://survey.az1.qualtrics.com/SE/?SID=SV_9uARDX1aXEXq1pP&Q_JFE=0&workerId=</a>","null","html-keyboard-response","31","115348","0.0-4.0","","","","","","","","","",""
